Row Labels,Acute Bronchitis,Acute respiratory infections (ARI),Allergic Rhinitis,Asthma,Bronchiolitis,Bronchitis,Bullous Dermatoses,Chickenpox,Common Cold,Conjunctival Disorders,COVID-19,Croup,Denom,ECLD - Asthma exacerbations,ECLD - COPD exacerbations,Exacerbations of chronic lung disease,Herpes Simplex,Herpes Zoster,Impetigo,Infectious Intestinal Diseases,Infectious Mononucleosis,Influenza-like illness,Laryngitis,Laryngitis and Tracheitis,Lower Respiratory Tract Infections,Measles,Meningitis and Encephalitis,Mumps,Non-infective Enteritis and Colitis,Number of practices,Otitis Media,Otitis Media Acute,Otitis Media Acute New,Peripheral Nervous Disease,Pleurisy,Pneumonia,Pneumonia and Pneumonitis,Population,Practice Count,Respiratory System Diseases,Rubella,Scabies,Sinusitis,Skin and Subcutaneous Tissue Infections,Strep Throat and Peritonsillar Abscess,Symptoms involving musckuoskeletal,Symptoms involving musculoskeletal,Symptoms involving Respiratory and Chest,Symptoms involving Skin and Integument Tissues,Tonsillitis and acute Pharyngitis,Tonsillitis/Pharyngitis,Upper Respiratory Tract Infections,Urinary Tract Infections,Viral Hepatitis,Whooping Cough,Grand Total
16/05/2016,2247,,1500,405,,,3,360,3009,1314,,,,,,,267,333,234,396,30,198,,177,2376,0,9,0,408,420,,942,,363,63,,63,4007424,,11793,0,60,714,2352,87,195,,978,1911,2220,,7026,1125,3,9,4051014
23/05/2016,1382,,674,244,,,8,210,2070,864,,,,,,,118,166,126,322,18,74,,86,1438,0,2,2,258,278,,584,,230,12,,42,2632270,,7164,0,38,458,1466,38,194,,504,1158,1396,,4558,686,6,0,2659144
30/05/2016,567,,270,115,,,1,87,696,299,,,,,,,54,87,56,114,2,35,,33,595,1,1,0,97,138,,214,,97,9,,14,1290197,,2636,0,18,167,623,6,51,,183,442,482,,1587,311,4,2,1300291
12/09/2016,664,,114,214,,,1,44,727,310,,,,,,,89,102,101,143,9,27,,40,692,0,2,2,137,,,218,15,135,10,,19,,,2966,0,27,199,982,10,77,,295,653,553,,1732,482,5,3,11799
19/09/2016,1432,,200,466,,,8,68,2188,620,,,,,,,166,218,204,278,24,98,,74,1476,0,4,4,252,,,528,66,316,16,,28,,,6674,0,46,352,1878,24,170,,642,1340,1052,,4182,1006,10,8,26118
26/09/2016,2664,,258,747,,,9,126,3933,1083,,,,,,,222,306,324,492,12,234,,150,2766,3,6,0,393,,,921,156,477,45,,54,,,11736,0,54,759,2721,42,234,,996,1986,1641,,7353,1293,6,30,44232
03/10/2016,3848,,356,1144,,,12,88,6496,1316,,,,,,,332,452,468,604,28,452,,228,3992,0,4,12,396,,,1312,184,628,40,,100,,,17920,0,92,1052,3704,60,368,,1152,2832,2532,,11536,1764,16,28,65548
10/10/2016,4132,,364,1160,,,4,164,5900,1208,,,,,,,256,400,460,576,24,436,,252,4228,0,8,12,480,,,1188,141,592,36,,48,,,17416,0,120,1112,3240,60,308,,1188,2444,2200,,10572,1748,16,40,62533
17/10/2016,4436,,352,1212,,,8,152,6452,1348,,,,,,,308,484,356,588,24,376,,324,4596,4,12,12,612,,,1352,86,592,68,,96,,,18804,0,64,1304,3224,44,320,,1472,2408,2420,,11788,1824,28,12,67562
24/10/2016,4321,,319,1084,,,16,151,6315,1187,,,,,,,245,401,336,615,20,375,,290,4502,1,7,9,531,,,1258,104,526,75,,95,,,17900,0,92,1279,3024,34,316,,1185,2317,2035,,11097,1721,18,21,63822
31/10/2016,4876,,380,1160,,,16,180,6956,1420,,,,,,,288,476,344,704,20,508,,232,4996,0,8,16,564,,,1420,110,556,44,,84,,,19608,0,80,1292,3212,68,400,,1460,2412,2324,,12164,1708,20,12,70118
07/11/2016,5292,,448,1200,,,12,200,7244,1432,,,,,,,336,420,528,652,20,388,,260,5492,4,0,24,544,,,1580,222,544,80,,120,,,21036,0,132,1424,3272,80,360,,1364,2496,2732,,13140,1752,8,8,74846
14/11/2016,5700,,244,1192,,,8,256,7892,1420,,,,,,,320,444,400,660,32,428,,296,5848,4,4,8,628,,,1728,268,612,60,,84,,,21636,0,148,1348,3120,88,320,,1440,2244,2620,,13792,1784,12,16,77104
21/11/2016,5992,,272,1248,,,12,252,9144,1484,,,,,,,308,396,488,688,52,488,,336,6100,0,12,16,708,,,2200,396,632,44,,68,,,23664,0,84,1400,3260,120,348,,1408,2324,2912,,15892,1780,12,12,84552
28/11/2016,6364,,304,1284,,,12,192,8284,1508,,,,,,,360,428,432,664,32,488,,400,6576,0,8,8,584,,,2048,368,644,88,,120,,,23616,0,88,1468,3056,108,284,,1424,2244,2824,,14944,1628,16,32,82928
05/12/2016,6240,,224,1228,,,8,280,8296,1476,,,,,,,352,420,384,600,24,528,,372,6428,0,4,4,560,,,1992,340,500,68,,108,,,23024,0,100,1572,2908,104,348,,1312,2056,2676,,14792,1504,12,20,80864
12/12/2016,6104,,140,1052,,,0,228,7676,1392,,,,,,,192,348,320,572,32,680,,320,6232,4,4,8,528,,,1732,284,452,56,,72,,,21400,0,72,1384,2632,108,260,,1268,1888,2380,,13432,1400,16,8,74676
19/12/2016,7552,,184,1240,,,20,364,9476,1820,,,,,,,296,396,384,544,24,964,,336,7704,0,24,20,468,,,2028,360,408,56,,96,,,26224,0,104,1768,2968,84,272,,1416,1952,2788,,16316,1780,16,16,90468
26/12/2016,7060,,148,824,,,20,244,7372,1236,,,,,,,220,336,248,420,4,744,,180,7200,0,0,0,352,,,1388,224,220,40,,92,,,21128,0,64,1492,2028,52,144,,1072,1224,1980,,12352,1068,8,0,71184
02/01/2017,9164,,200,1044,,,8,384,8804,1672,,,,,,,300,432,384,440,16,1164,,296,9352,0,4,16,528,,,1500,180,424,68,,120,,,27444,0,108,2244,2672,88,292,,1652,1992,2472,,15224,1648,4,4,92344
09/01/2017,6948,,204,1052,,,12,248,7832,1744,,,,,,,284,340,324,532,36,1204,,308,7148,0,8,8,484,,,1356,92,468,80,,136,,,24596,4,80,2028,2800,64,344,,1468,2364,2704,,14148,1604,12,24,83088
16/01/2017,6520,,208,1236,,,16,424,7660,1944,,,,,,,372,468,500,528,32,1000,,336,6732,4,0,12,532,,,1608,67,616,72,,124,,,23716,0,120,1632,3428,112,332,,1568,2696,2792,,13924,1784,28,28,83171
23/01/2017,5956,,228,1256,,,0,364,8624,2076,,,,,,,312,412,408,508,32,1000,,332,6120,0,16,12,456,,,1940,,608,56,,112,,,24660,0,116,1732,3228,132,324,,1476,2528,3220,,15764,1768,24,8,85808
30/01/2017,6280,,268,1256,,,12,520,8772,2348,,,,,,,384,488,440,692,32,1156,,424,6444,0,4,4,616,,,2036,,648,52,,112,,,25752,0,136,1884,3368,112,304,,1600,2536,3444,,16464,1812,32,12,90444
06/02/2017,4684,,276,876,,,4,348,7304,1944,,,,,,,332,308,376,608,40,728,,288,4844,0,8,8,448,,,1812,,568,56,,96,,,20592,0,112,1644,2548,136,232,,1316,1908,2940,,13916,1532,20,8,72860
13/02/2017,4248,,232,808,,,4,404,5756,1912,,,,,,,260,296,380,448,16,680,,248,4376,0,12,4,472,,,1624,,452,72,,64,,,17392,0,64,1364,2596,120,276,,1164,1932,2344,,11260,1312,8,8,62608
20/02/2017,4624,,356,932,,,8,564,6408,2376,,,,,,,284,512,356,608,24,508,,264,4788,0,4,20,488,,,1616,,492,60,,112,,,19828,0,64,1640,3120,196,372,,1360,2380,3012,,12848,1844,40,4,72112
27/02/2017,4136,,372,868,,,24,536,5472,2140,,,,,,,308,436,424,624,32,448,,228,4288,0,4,32,568,,,1440,,536,60,,88,,,17932,0,120,1556,2892,152,324,,1376,2484,2956,,11572,1680,12,12,66132
06/03/2017,3952,,484,836,,,8,584,5260,1840,,,,,,,324,504,396,552,40,468,,252,4124,4,0,0,608,,,1572,,572,84,,64,,,18072,0,108,1484,3148,168,268,,1236,2568,3328,,11832,1680,28,16,66464
13/03/2017,2895,,576,651,,,0,438,4287,1488,,,,,,,231,324,231,474,21,234,,225,3045,0,12,9,396,,,1254,,426,57,,87,,,13896,0,90,933,2313,156,261,,987,1896,2685,,9303,1272,15,9,51177
20/03/2017,1814,,288,416,,,4,318,2628,942,,,,,,,126,200,186,234,12,152,,150,1884,2,4,6,244,,,788,,262,32,,34,,,8586,2,28,608,1486,110,156,,606,1160,1626,,5754,758,4,4,31614
27/03/2017,1900,,432,440,,,2,346,2758,910,,,,,,,174,246,196,340,12,116,,168,1982,0,6,2,304,,,808,,286,34,,46,,,9184,0,44,688,1650,132,170,,672,1206,1710,,6074,768,6,4,33816
03/04/2017,2096,,636,458,,,8,320,2814,1022,,,,,,,162,240,178,312,18,120,,140,2188,0,10,2,278,,,748,,340,28,,50,,,9738,0,52,676,1670,94,152,,738,1368,1644,,5976,934,12,8,35230
10/04/2017,2460,,1062,537,,,6,414,2808,1371,,,,,,,231,231,243,252,30,117,,156,2526,0,9,9,279,,,828,,345,24,,39,,,11064,0,57,843,2049,111,144,,693,1638,1818,,6417,1023,21,3,39858
17/04/2017,3428,,980,708,,,8,528,3692,1344,,,,,,,272,472,324,444,28,164,,208,3572,0,24,12,464,,,1020,,472,48,,100,,,14384,0,48,1128,2844,60,260,,1020,2212,2540,,8520,1396,16,28,52768
24/04/2017,3724,,1168,816,,,8,580,4040,1856,,,,,,,352,472,388,624,24,180,,256,3868,4,0,8,480,,,1184,,664,64,,76,,,16744,0,92,1380,3508,124,336,,1304,2940,2992,,9784,1704,28,12,61784
01/05/2017,2900,,944,708,,,0,460,3276,1284,,,,,,,304,408,308,496,28,156,,152,3012,4,20,8,420,,,1108,,480,68,,52,,,13091,0,100,928,2756,136,252,,1036,2208,2392,,7813,1432,44,12,48796
08/05/2017,3468,,1304,756,,,8,452,4214,1452,,,,,,,336,392,340,528,60,180,,244,3604,12,8,28,524,,,1228,,644,64,,64,,,15602,0,72,1040,3360,128,348,,1168,2620,2648,,9328,1644,12,12,57892
15/05/2017,3232,,1000,820,,,0,572,4343,1544,,,,,,,264,432,336,544,24,224,,180,3336,0,4,76,620,,,1300,,612,44,,56,,,15277,0,88,1032,3280,168,344,,1128,2516,2812,,9602,1604,12,16,57442
22/05/2017,2932,,1488,884,,,12,568,3648,1648,,,,,,,336,496,296,548,40,140,,188,3080,4,0,44,448,,,1368,,576,76,,68,,,15068,0,92,964,3560,124,280,,1088,3108,2984,,9108,1576,24,0,56864
29/05/2017,2420,,1168,544,,,8,496,2480,1164,,,,,,,240,252,260,428,28,84,,104,2552,4,12,40,392,,,872,,492,60,,64,,,10804,0,48,704,2912,88,184,,820,2268,1952,,6084,1236,16,4,41284
