Row Labels,Acute Bronchitis,Acute respiratory infections (ARI),Allergic Rhinitis,Asthma,Bronchiolitis,Bronchitis,Bullous Dermatoses,Chickenpox,Common Cold,Conjunctival Disorders,COVID-19,Croup,Denom,ECLD - Asthma exacerbations,ECLD - COPD exacerbations,Exacerbations of chronic lung disease,Herpes Simplex,Herpes Zoster,Impetigo,Infectious Intestinal Diseases,Infectious Mononucleosis,Influenza-like illness,Laryngitis,Laryngitis and Tracheitis,Lower Respiratory Tract Infections,Measles,Meningitis and Encephalitis,Mumps,Non-infective Enteritis and Colitis,Number of practices,Otitis Media,Otitis Media Acute,Otitis Media Acute New,Peripheral Nervous Disease,Pleurisy,Pneumonia,Pneumonia and Pneumonitis,Population,Practice Count,Respiratory System Diseases,Rubella,Scabies,Sinusitis,Skin and Subcutaneous Tissue Infections,Strep Throat and Peritonsillar Abscess,Symptoms involving musckuoskeletal,Symptoms involving musculoskeletal,Symptoms involving Respiratory and Chest,Symptoms involving Skin and Integument Tissues,Tonsillitis and acute Pharyngitis,Tonsillitis/Pharyngitis,Upper Respiratory Tract Infections,Urinary Tract Infections,Viral Hepatitis,Whooping Cough,Grand Total
07/06/2021,,,6188,2056,,700,20,408,304,2492,,,,,,,660,1108,572,1060,32,124,,648,5644,0,8,0,1776,,,204,,3632,24,,408,,,36260,0,152,2104,15912,48,,2172,26784,28088,3328,,14328,2392,32,8,159676
14/06/2021,,,18612,2280,,696,28,356,196,3052,,,,,,,740,1092,460,1084,24,48,,880,5384,0,20,4,1756,,,184,,3608,40,,312,,,47056,0,108,1804,15732,36,,2372,26036,27380,3480,,13508,2392,28,0,180788
21/06/2021,,,8048,1928,,600,16,324,252,2280,,,,,,,588,1068,500,1236,32,176,,920,5580,0,16,12,1956,,,244,,3572,32,,332,,,38600,4,84,1860,13484,40,,2016,26272,23156,3920,,15100,2400,44,12,156704
28/06/2021,,,5480,1956,,576,28,304,184,2216,,,,,,,696,1136,544,1104,64,180,,860,6004,4,4,12,1776,,,232,,3644,12,,356,,,36952,0,136,2108,14756,68,,2308,27536,22820,3984,,15360,2436,28,16,155880
05/07/2021,,,3112,1832,,724,24,328,220,1888,,,,,,,584,1172,508,1188,52,136,,680,6356,0,16,20,1960,,,228,,3452,32,,400,,,35404,0,284,2360,14556,80,,2064,27332,21996,4080,,15424,2504,24,20,151040
12/07/2021,,,2180,1780,,624,16,364,236,1816,,,,,,,528,928,388,1184,32,124,,520,5576,0,12,8,1848,,,204,,3200,24,,284,,,31392,0,76,2244,13876,76,,2072,25220,20288,3516,,13576,2344,32,0,136588
19/07/2021,,,1524,1320,,568,28,316,104,1796,,,,,,,524,836,388,912,28,96,,344,4332,0,8,4,1544,,,204,,2476,12,,296,,,23084,4,88,1212,14884,48,,1680,17004,19128,2636,,9228,1752,20,4,108432
26/07/2021,,,1152,1708,,736,52,384,184,2000,,,,,,,596,1028,464,1192,24,132,,360,5456,0,16,4,1960,,,292,,3448,20,,332,,,29976,0,124,1748,16220,68,,2104,22524,22316,3324,,11868,2648,24,0,134484
02/08/2021,,,820,1716,,660,24,220,168,1892,,,,,,,620,1052,436,1292,16,120,,384,5136,0,12,8,2012,,,244,,3280,36,,408,,,28700,0,148,2056,14400,48,,2064,21608,19940,3352,,11688,2672,48,12,127292
09/08/2021,,,756,1676,,672,12,188,204,1740,,,,,,,576,1076,456,1372,48,120,,432,5496,0,16,4,2068,,,164,,3508,68,,432,,,29128,0,156,2216,14504,60,,2184,22560,20548,3312,,11964,2688,44,4,130452
